ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,South South,6688640,DPT 1 vaccination received,74.3,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP1,93906020,I,433010,1433060,Region,South South,0,,0,1,CHVACCCDP1,NGDHS2003433010,2003,DHS,120,92,,,1
NGA,North Central,7226202,DPT 2 vaccination received,33,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP2,93906030,I,433005,1433010,Region,North Central,0,,0,1,CHVACCCDP2,NGDHS2003433005,2003,DHS,149,181,,,1
NGA,North East,5429059,DPT 2 vaccination received,14,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP2,93906030,I,433006,1433020,Region,North East,0,,0,1,CHVACCCDP2,NGDHS2003433006,2003,DHS,219,236,,,1
NGA,North West,2102122,DPT 2 vaccination received,13.2,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP2,93906030,I,433007,1433030,Region,North West,0,,0,1,CHVACCCDP2,NGDHS2003433007,2003,DHS,356,311,,,1
NGA,South East,6894083,DPT 2 vaccination received,66.3,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP2,93906030,I,433008,1433040,Region,South East,0,,0,1,CHVACCCDP2,NGDHS2003433008,2003,DHS,74,91,,,1
NGA,South West,7553925,DPT 2 vaccination received,80.2,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP2,93906030,I,433009,1433050,Region,South West,0,,0,1,CHVACCCDP2,NGDHS2003433009,2003,DHS,81,104,,,1
NGA,South South,6688659,DPT 2 vaccination received,63.3,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP2,93906030,I,433010,1433060,Region,South South,0,,0,1,CHVACCCDP2,NGDHS2003433010,2003,DHS,120,92,,,1
NGA,North Central,7226194,DPT 3 vaccination received,23.8,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP3,93906040,I,433005,1433010,Region,North Central,0,,0,1,CHVACCCDP3,NGDHS2003433005,2003,DHS,149,181,,,1
NGA,North East,5429009,DPT 3 vaccination received,9.1,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP3,93906040,I,433006,1433020,Region,North East,0,,0,1,CHVACCCDP3,NGDHS2003433006,2003,DHS,219,236,,,1
NGA,North West,2102124,DPT 3 vaccination received,5.8,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP3,93906040,I,433007,1433030,Region,North West,0,,0,1,CHVACCCDP3,NGDHS2003433007,2003,DHS,356,311,,,1
NGA,South East,6894065,DPT 3 vaccination received,58.5,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP3,93906040,I,433008,1433040,Region,South East,0,,0,1,CHVACCCDP3,NGDHS2003433008,2003,DHS,74,91,,,1
NGA,South West,7553928,DPT 3 vaccination received,67.8,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP3,93906040,I,433009,1433050,Region,South West,0,,0,1,CHVACCCDP3,NGDHS2003433009,2003,DHS,81,104,,,1
NGA,South South,6688641,DPT 3 vaccination received,32.5,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_DP3,93906040,I,433010,1433060,Region,South South,0,,0,1,CHVACCCDP3,NGDHS2003433010,2003,DHS,120,92,,,1
NGA,North Central,7226198,Polio 0 vaccination received,36.2,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP0,93906050,I,433005,1433010,Region,North Central,0,,0,1,CHVACCCOP0,NGDHS2003433005,2003,DHS,149,181,,,1
NGA,North East,5429007,Polio 0 vaccination received,18.7,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP0,93906050,I,433006,1433020,Region,North East,0,,0,1,CHVACCCOP0,NGDHS2003433006,2003,DHS,219,236,,,1
NGA,North West,2102120,Polio 0 vaccination received,12,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP0,93906050,I,433007,1433030,Region,North West,0,,0,1,CHVACCCOP0,NGDHS2003433007,2003,DHS,356,311,,,1
NGA,South East,6894068,Polio 0 vaccination received,39.6,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP0,93906050,I,433008,1433040,Region,South East,0,,0,1,CHVACCCOP0,NGDHS2003433008,2003,DHS,74,91,,,1
NGA,South West,7553931,Polio 0 vaccination received,65.4,1,NG,Nigeria,2003,NG2003DHS,CH_VACC_C_OP0,93906050,I,433009,1433050,Region,South West,0,,0,1,CHVACCCOP0,NGDHS2003433009,2003,DHS,81,104,,,1
